article_id,article_published_at,consolidated_event_tags,consolidated_event_type,consolidated_factor_name,factor_category,event_tag_category,factor_magnitude,factor_movement,article_source_credibility,market_perception_intensity,causal_certainty,ai_assessment_business_impact_likelihood,ai_assessment_competitive_risk,ai_assessment_execution_risk,abs_change_1day_after_pct
sample_000,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,3.1,1,6.3,4.8,0.61,0.29,0.74,0.11,-3.02
sample_001,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.4,1,7.1,5.5,0.57,0.38,0.43,0.76,3.18
sample_002,2024-10-15T18:30:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.3,-1,8.0,4.6,0.67,0.37,0.53,0.19,3.86
sample_003,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.6,1,6.9,5.2,0.93,0.94,0.83,0.43,1.08
sample_004,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,7.1,1,8.2,7.0,0.49,0.39,0.9,0.55,-0.78
sample_005,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,5.5,-1,7.5,5.2,0.71,0.45,0.21,0.5,0.67
sample_006,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,8.9,1,6.2,7.0,0.48,0.48,0.5,0.54,-4.07
sample_007,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,3.3,1,7.3,5.5,0.58,0.28,0.79,0.11,-3.11
sample_008,2024-11-20T15:15:00+00:00,"partnership,software,ecosystem",partnership_announcement,competitive_pressure,competitive_dynamics,strategic,8.8,-1,6.5,7.2,0.47,0.9,0.7,0.19,-2.71
sample_009,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.3,-1,6.6,5.4,0.34,0.65,0.53,0.54,-3.7
sample_010,2024-09-07T21:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,4.2,1,8.0,5.7,0.46,0.85,0.81,0.71,0.71
